Category,Area of focus
Energy,Climate Change
Energy,Economics & Policy
Energy,Engineering
Energy,Social Sciences 
Energy,Technology
Energy,Transportation
Food,Agriculture
Food,Climate Change
Food,Ecology & Conservation
Food,Economics & Policy
Food,Fisheries & Aquaculture
Food,Land Use
Food,Physical science & Engineering
Food,Social Sciences & Anthropology
Food,Soil
Water,Climate Change
Water,Conservation
Water,Economics & Policy
Water,Hydrology
Water,Policy
Water,Social Sciences 
Water,Water Resources